label,height,weight
normal,138,37
normal,163,55
fat,134,71
thin,172,44
normal,177,66
fat,126,56
fat,134,46
thin,195,69
fat,165,77
thin,161,41
thin,182,39
fat,133,68
fat,130,65
fat,158,76
thin,156,44
fat,162,74
thin,155,43
thin,178,46
thin,162,40
normal,156,47
normal,158,54
thin,196,54
thin,176,45
normal,132,36
thin,181,43
thin,165,45
normal,145,52
fat,167,73
normal,168,62
fat,145,74
thin,186,44
thin,195,36
normal,159,50
thin,176,57
thin,171,39
normal,197,75
thin,187,48
fat,142,61
fat,128,53
fat,120,70
fat,128,71
thin,182,45
fat,126,78
normal,174,63
fat,129,72
thin,180,42
fat,144,61
thin,195,63
normal,156,57
normal,152,46
fat,147,61
normal,174,75
thin,166,35
normal,178,66
normal,157,47
fat,161,74
thin,185,35
fat,161,68
thin,182,35
thin,186,50
fat,164,68
thin,160,35
thin,192,67
fat,169,74
thin,199,67
fat,144,69
thin,194,53
normal,192,80
normal,171,71
thin,180,50
fat,142,65
thin,174,51
thin,194,42
thin,189,60
normal,166,56
thin,192,52
fat,144,77
thin,187,49
fat,139,76
normal,199,76
thin,189,57
thin,174,47
thin,173,52
fat,138,75
fat,140,71
normal,140,42
fat,140,69
normal,185,70
fat,131,54
fat,156,74
fat,141,80
normal,140,43
normal,200,79
fat,146,78
thin,191,36
thin,173,38
fat,143,79
normal,141,47
thin,177,45
thin,199,52
thin,157,45
normal,186,68
fat,161,67
thin,165,37
thin,198,41
fat,147,62
normal,140,47
normal,162,55
thin,172,49
normal,190,71
normal,185,77
thin,194,54
normal,153,52
fat,150,75
thin,187,62
thin,192,65
normal,183,66
normal,154,57
normal,144,50
normal,176,75
normal,144,43
fat,140,62
normal,161,48
thin,192,47
thin,187,35
normal,140,39
fat,123,42
fat,156,65
normal,137,38
thin,198,39
thin,144,36
normal,154,52
normal,175,75
normal,170,62
thin,198,61
fat,125,43
normal,134,36
thin,171,41
thin,188,54
fat,171,77
fat,148,74
thin,200,51
thin,185,52
fat,162,69
thin,184,60
thin,179,56
thin,194,45
fat,126,48
thin,180,54
normal,178,67
thin,191,42
thin,157,39
fat,173,76
thin,200,40
thin,188,52
thin,186,53
normal,179,74
thin,159,45
fat,141,65
fat,166,72
fat,133,68
normal,185,67
normal,185,67
fat,132,53
fat,156,79
thin,188,54
thin,155,41
normal,159,53
fat,126,78
fat,139,74
thin,180,40
thin,186,62
normal,185,65
thin,199,36
normal,192,80
normal,173,72
thin,162,38
normal,176,67
normal,170,68
fat,124,64
fat,129,65
normal,169,61
thin,170,36
normal,138,41
normal,193,76
fat,140,67
fat,143,56
normal,153,52
fat,146,55
fat,132,67
thin,176,35
fat,135,57
normal,157,53
thin,178,46
thin,196,40
fat,122,44
fat,121,59
fat,122,74
fat,142,56
thin,175,41
normal,130,40
normal,158,58
thin,184,37
thin,171,39
thin,181,38
thin,185,63
thin,185,60
fat,132,54
fat,151,58
fat,128,46
fat,123,51
normal,154,49
thin,172,44
thin,163,47
fat,140,73
normal,170,67
fat,133,79
fat,128,61
fat,128,57
fat,125,61
fat,123,56
thin,185,63
normal,159,53
fat,164,76
thin,183,55
normal,174,69
normal,136,37
fat,129,49
normal,186,65
normal,135,35
fat,122,39
thin,140,35
thin,195,48
fat,129,77
thin,195,66
thin,169,43
thin,152,40
fat,129,62
normal,134,42
thin,199,40
thin,186,59
normal,186,68
thin,186,48
thin,175,40
normal,187,65
thin,176,54
thin,195,58
fat,141,52
fat,153,60
normal,154,52
thin,177,52
normal,171,57
normal,175,61
fat,138,67
normal,173,64
fat,124,42
thin,171,51
fat,152,75
normal,187,78
normal,144,46
normal,126,38
normal,132,41
fat,130,47
normal,178,72
normal,146,49
thin,183,46
thin,199,70
fat,120,38
fat,130,47
fat,133,76
thin,198,43
thin,189,52
thin,170,45
fat,161,71
fat,124,79
fat,138,65
normal,148,51
normal,146,47
fat,122,43
normal,171,60
normal,167,68
normal,178,68
normal,197,76
normal,186,76
thin,196,49
fat,135,72
thin,175,54
thin,194,48
thin,197,37
thin,156,37
normal,131,39
normal,157,48
thin,187,50
fat,145,77
fat,127,43
thin,189,46
fat,172,78
normal,177,75
normal,153,46
fat,128,47
fat,145,73
normal,147,47
thin,198,70
normal,170,64
normal,160,59
normal,159,56
fat,162,74
fat,131,64
fat,125,69
normal,139,44
fat,127,73
normal,192,72
fat,131,64
thin,192,47
normal,134,40
fat,145,62
normal,149,49
fat,120,39
normal,151,45
thin,200,73
thin,176,48
fat,150,76
thin,176,40
fat,147,68
fat,135,75
normal,175,60
fat,123,73
fat,138,65
normal,193,80
fat,121,54
thin,193,40
fat,140,68
fat,165,77
normal,183,80
thin,191,55
thin,187,52
fat,173,78
fat,120,48
thin,181,44
fat,143,53
fat,165,72
thin,190,48
fat,122,64
thin,142,36
fat,129,52
thin,168,35
fat,169,74
thin,150,39
normal,157,58
thin,180,51
fat,135,67
thin,195,59
fat,139,77
fat,125,65
normal,189,67
thin,165,47
normal,193,69
fat,128,53
fat,123,75
thin,166,42
normal,177,63
thin,173,45
thin,196,70
fat,128,51
fat,163,80
thin,173,46
fat,145,66
fat,129,47
thin,196,42
fat,161,79
thin,200,37
normal,159,53
normal,166,63
normal,187,78
fat,140,50
fat,143,74
fat,128,71
fat,138,80
thin,186,62
normal,200,76
fat,166,78
thin,166,38
fat,153,77
normal,184,75
normal,145,50
normal,186,74
thin,194,45
normal,191,69
thin,138,35
fat,131,49
thin,193,44
thin,188,40
fat,128,74
normal,161,52
fat,131,50
fat,140,63
fat,156,73
normal,200,78
thin,200,67
normal,171,68
thin,186,55
thin,185,37
thin,172,36
normal,158,53
normal,156,51
normal,133,38
normal,191,78
normal,147,44
fat,155,71
fat,133,53
thin,145,38
normal,154,56
thin,177,52
fat,143,80
normal,159,58
thin,186,52
thin,194,38
thin,180,57
normal,157,60
fat,139,59
normal,155,55
thin,159,39
normal,137,40
thin,159,42
normal,156,53
thin,182,54
normal,165,54
normal,151,56
normal,167,53
thin,169,46
fat,143,55
thin,154,43
fat,142,67
fat,134,78
fat,135,65
thin,181,45
normal,131,41
thin,197,49
normal,142,46
fat,127,59
normal,130,36
normal,146,49
fat,138,66
fat,126,60
normal,152,56
fat,123,52
normal,185,69
fat,147,64
fat,146,68
fat,152,62
fat,121,78
thin,187,61
thin,168,41
fat,157,65
fat,141,70
normal,175,61
thin,159,40
normal,186,73
thin,176,41
thin,173,43
fat,166,70
thin,191,61
fat,134,46
thin,166,35
thin,174,56
thin,159,45
fat,136,63
fat,130,53
normal,196,79
fat,126,76
fat,121,71
normal,155,50
fat,161,65
thin,189,64
fat,175,80
thin,158,46
normal,180,79
fat,131,64
normal,141,43
thin,181,41
fat,170,74
normal,170,70
thin,180,36
fat,135,64
normal,149,54
fat,140,51
fat,146,55
normal,178,76
thin,190,38
thin,179,49
fat,158,64
thin,195,62
fat,123,66
thin,192,42
normal,146,49
thin,180,56
thin,174,46
normal,179,65
normal,184,63
thin,190,53
thin,162,45
thin,198,64
normal,175,70
thin,174,45
normal,170,62
thin,177,53
thin,153,36
normal,164,63
thin,196,60
thin,184,55
fat,124,55
fat,133,51
fat,144,73
fat,132,49
fat,127,80
fat,164,76
thin,162,36
thin,169,49
fat,128,58
fat,141,58
normal,175,64
fat,125,66
fat,150,76
fat,176,78
normal,145,46
normal,159,50
normal,178,75
thin,169,42
fat,157,74
fat,135,63
normal,165,63
fat,146,66
thin,175,41
fat,122,70
normal,162,65
normal,178,78
fat,128,44
normal,161,51
thin,148,37
fat,126,51
thin,153,39
thin,200,53
fat,148,79
normal,193,73
thin,172,40
normal,122,36
normal,137,46
fat,137,52
fat,162,70
normal,148,49
normal,182,73
thin,165,50
thin,197,41
normal,137,43
fat,133,47
fat,146,66
normal,128,37
thin,188,41
thin,170,38
fat,120,57
fat,131,66
fat,147,74
thin,183,47
normal,144,49
normal,162,53
normal,162,65
fat,135,70
normal,154,50
normal,156,48
fat,133,46
thin,199,40
normal,151,48
thin,171,51
normal,142,42
thin,186,41
normal,171,68
normal,177,70
normal,186,77
fat,157,64
fat,160,66
normal,175,57
normal,188,76
fat,122,43
fat,130,63
fat,132,57
normal,178,67
normal,136,37
fat,122,63
thin,147,38
thin,193,68
fat,143,55
normal,178,65
thin,193,48
fat,127,42
thin,183,41
fat,147,59
normal,133,36
thin,185,43
fat,138,80
thin,168,35
thin,168,50
fat,127,63
thin,191,58
fat,127,47
fat,172,78
fat,155,77
normal,173,74
fat,121,67
fat,140,77
normal,150,51
thin,199,65
normal,191,78
fat,136,69
normal,146,51
fat,125,67
thin,195,56
thin,197,49
thin,174,48
normal,189,70
thin,178,54
fat,136,71
normal,148,53
thin,198,62
normal,122,37
thin,169,45
fat,150,76
thin,169,37
fat,131,60
normal,182,68
fat,121,71
fat,122,53
normal,131,38
fat,151,60
fat,125,60
fat,162,69
normal,188,75
normal,185,78
normal,168,65
normal,152,51
fat,144,71
fat,170,74
thin,192,59
fat,121,72
fat,128,45
fat,124,42
thin,198,62
thin,192,53
thin,199,40
thin,154,35
thin,170,38
fat,164,73
thin,161,44
thin,186,42
fat,134,79
thin,192,46
fat,139,61
normal,158,60
normal,176,64
fat,131,70
fat,137,47
normal,193,79
fat,130,75
fat,166,79
normal,189,77
normal,133,43
thin,190,54
normal,183,66
fat,161,75
normal,189,79
thin,171,42
thin,195,41
fat,140,71
normal,180,70
fat,150,73
thin,195,69
normal,165,68
thin,179,42
fat,134,68
thin,172,48
fat,125,58
thin,193,43
normal,140,44
fat,154,73
thin,160,46
normal,177,61
fat,143,55
fat,129,45
normal,151,47
fat,167,75
thin,186,64
normal,154,50
fat,127,46
thin,183,55
fat,132,65
thin,167,44
normal,144,47
fat,125,51
fat,153,59
normal,133,36
thin,156,37
fat,135,74
fat,150,61
fat,159,78
fat,121,69
normal,144,45
thin,187,51
fat,144,77
normal,187,72
thin,194,37
normal,191,77
normal,155,57
fat,132,73
thin,165,39
normal,185,73
normal,184,66
normal,140,46
thin,169,46
normal,126,35
normal,179,61
fat,144,65
fat,147,69
thin,148,38
thin,185,59
thin,200,66
normal,150,56
fat,134,53
thin,154,40
normal,186,66
fat,161,65
fat,148,79
normal,132,43
thin,197,62
normal,169,59
fat,137,77
normal,172,61
fat,130,64
thin,168,37
fat,127,79
fat,133,79
fat,122,65
normal,121,36
thin,196,52
thin,196,65
fat,150,59
fat,178,80
fat,134,56
thin,163,38
fat,168,75
fat,136,72
fat,161,74
thin,189,63
fat,125,51
thin,193,51
thin,198,36
normal,152,50
normal,176,71
thin,179,54
normal,168,60
fat,166,75
fat,135,66
fat,133,62
fat,120,51
fat,131,70
fat,135,54
normal,180,75
thin,188,49
fat,131,51
fat,129,55
thin,187,58
fat,141,65
normal,163,58
fat,121,44
fat,145,57
fat,138,65
thin,159,40
normal,159,49
fat,168,80
fat,139,52
thin,167,38
normal,158,62
normal,146,50
fat,140,67
thin,198,59
normal,165,55
thin,188,46
fat,154,77
thin,197,63
thin,176,45
fat,137,48
fat,125,63
fat,125,58
thin,190,38
normal,155,59
fat,138,67
normal,180,75
thin,166,48
normal,172,71
thin,190,43
thin,182,40
fat,121,69
thin,169,38
thin,177,52
normal,134,40
thin,170,36
thin,168,50
normal,145,42
fat,121,58
normal,170,71
normal,143,50
thin,191,61
normal,132,35
thin,174,38
thin,170,37
thin,194,69
fat,131,58
thin,175,38
thin,183,42
fat,123,57
fat,126,73
thin,193,42
thin,186,40
fat,130,80
normal,194,77
fat,144,70
thin,179,58
thin,196,67
normal,183,66
fat,153,66
thin,153,39
fat,149,71
normal,190,80
fat,121,67
normal,180,74
normal,157,58
thin,168,39
normal,179,64
normal,165,59
thin,174,43
fat,120,63
fat,159,71
fat,156,75
thin,186,40
fat,127,80
thin,174,48
thin,189,54
fat,122,68
thin,169,40
fat,141,66
thin,192,41
fat,160,70
fat,151,79
thin,161,40
normal,146,40
normal,146,45
fat,136,65
thin,163,39
fat,124,46
normal,179,63
thin,165,41
thin,168,50
thin,181,48
fat,129,57
fat,157,79
thin,192,56
fat,128,57
normal,178,68
normal,164,65
thin,146,36
thin,191,58
thin,182,40
normal,183,72
thin,164,47
normal,197,72
thin,145,37
normal,154,55
fat,155,74
fat,123,80
fat,145,60
normal,128,38
normal,153,50
fat,135,55
fat,125,48
normal,184,66
fat,129,69
fat,144,74
thin,200,73
thin,188,52
fat,131,57
thin,183,55
normal,188,66
normal,129,35
fat,139,53
thin,160,43
thin,185,40
fat,121,60
normal,192,72
thin,169,42
normal,136,44
fat,158,71
normal,189,80
normal,189,78
fat,172,77
fat,163,75
thin,151,41
thin,153,35
thin,200,35
thin,138,35
thin,176,41
thin,187,62
normal,137,45
fat,120,41
normal,131,40
fat,120,79
thin,183,61
thin,183,51
normal,149,47
normal,166,54
fat,132,49
fat,128,63
thin,189,51
thin,176,37
fat,133,48
fat,129,77
normal,154,46
normal,165,68
fat,130,65
fat,163,69
fat,121,45
fat,135,61
thin,189,53
normal,176,63
fat,124,46
thin,184,51
fat,127,75
normal,130,42
thin,192,46
fat,160,70
fat,169,80
normal,193,77
normal,174,66
normal,140,38
normal,141,49
fat,147,73
normal,153,53
fat,159,77
normal,164,50
thin,171,38
normal,138,46
thin,195,56
thin,196,68
thin,180,58
thin,171,40
normal,170,70
fat,120,57
normal,193,77
thin,180,58
fat,139,76
normal,156,57
thin,174,42
normal,156,51
normal,147,47
fat,124,57
normal,155,48
normal,141,48
thin,195,39
thin,167,51
thin,195,36
normal,143,47
fat,146,77
normal,142,50
normal,178,65
thin,195,64
fat,136,79
thin,182,60
fat,125,46
normal,186,74
thin,194,56
fat,176,78
normal,180,69
fat,148,69
normal,180,60
thin,156,36
thin,178,46
fat,143,52
normal,179,64
thin,177,35
fat,150,60
fat,130,66
thin,185,62
thin,193,52
normal,177,63
fat,134,49
normal,163,53
thin,176,50
normal,164,66
thin,171,35
thin,142,36
fat,132,63
thin,173,52
fat,145,64
fat,128,73
thin,181,44
normal,174,58
fat,161,71
thin,199,69
fat,172,76
fat,140,67
normal,135,35
thin,187,41
thin,196,35
thin,181,44
thin,178,40
fat,138,65
thin,180,38
fat,155,75
fat,130,51
normal,137,41
thin,170,53
fat,141,71
thin,162,44
normal,166,63
fat,145,79
normal,138,47
normal,180,61
thin,179,49
fat,124,43
fat,151,73
fat,157,66
fat,144,80
thin,166,50
normal,131,39
thin,179,53
fat,127,43
thin,196,63
thin,179,49
fat,162,73
normal,178,69
thin,195,37
normal,153,58
normal,145,47
fat,132,69
normal,189,75
normal,188,77
normal,148,45
fat,128,45
thin,183,55
fat,168,77
normal,176,65
thin,190,48
thin,155,39
fat,126,80
fat,128,41
normal,190,71
thin,186,40
fat,131,65
fat,153,79
fat,124,73
fat,139,70
normal,148,54
fat,147,61
thin,193,62
thin,181,56
thin,193,52
normal,130,40
thin,199,68
fat,120,51
fat,120,61
fat,169,80
normal,139,37
thin,174,39
thin,181,40
thin,165,44
normal,133,41
thin,190,36
fat,160,68
thin,181,60
normal,177,65
thin,168,38
thin,195,46
fat,135,58
thin,198,70
thin,162,44
normal,168,67
thin,190,43
thin,189,49
fat,137,57
fat,125,61
thin,149,38
normal,125,36
fat,143,64
fat,133,63
fat,131,67
normal,182,69
normal,181,66
normal,144,46
fat,120,38
thin,169,44
fat,129,69
thin,197,63
fat,166,79
fat,166,80
fat,169,74
normal,147,46
thin,186,53
fat,144,64
fat,128,42
normal,156,56
normal,187,65
thin,198,56
thin,165,45
thin,166,43
fat,128,53
fat,133,75
thin,172,42
fat,162,68
thin,187,64
thin,175,48
normal,123,35
thin,166,35
thin,188,64
thin,177,39
normal,189,67
fat,147,55
thin,157,36
normal,187,73
fat,146,65
fat,137,67
fat,150,77
fat,125,55
fat,137,72
fat,123,69
thin,147,35
fat,176,78
thin,189,45
thin,186,50
thin,173,42
normal,180,75
fat,150,71
normal,167,60
thin,191,38
fat,130,48
normal,158,50
fat,146,66
normal,159,63
fat,137,80
thin,183,49
fat,151,61
normal,140,42
fat,146,63
fat,134,64
thin,193,45
thin,178,52
normal,132,37
fat,142,75
normal,144,47
thin,150,37
fat,123,47
fat,136,55
fat,169,73
normal,146,42
fat,120,79
fat,145,60
normal,143,50
thin,200,69
normal,174,68
fat,145,56
thin,199,72
fat,156,76
fat,123,66
normal,180,80
fat,136,48
thin,186,45
normal,192,77
normal,196,73
fat,121,38
fat,121,67
normal,160,63
normal,157,59
normal,127,35
normal,140,46
fat,167,76
fat,126,53
thin,184,45
normal,180,80
normal,167,56
normal,176,64
thin,199,37
fat,128,45
normal,179,61
fat,133,79
normal,179,66
normal,199,77
fat,174,78
fat,141,73
thin,184,41
normal,189,72
fat,130,58
fat,120,47
fat,122,57
fat,153,64
thin,162,48
normal,169,64
fat,143,79
fat,131,75
fat,123,50
normal,171,72
normal,197,75
fat,172,78
normal,178,71
fat,141,51
fat,132,54
fat,152,67
thin,184,58
thin,171,43
fat,144,61
thin,143,37
thin,155,40
fat,163,68
fat,172,76
fat,123,72
normal,174,59
normal,139,44
normal,141,45
fat,149,65
normal,134,40
fat,142,65
fat,169,78
fat,136,52
normal,152,50
normal,188,73
fat,146,79
fat,141,64
fat,138,76
fat,140,64
fat,151,59
thin,168,52
thin,153,38
fat,132,57
fat,136,47
thin,199,49
normal,188,67
normal,168,62
normal,185,74
fat,153,64
thin,174,41
fat,121,63
fat,130,74
fat,137,54
fat,163,71
normal,127,37
fat,126,69
normal,182,67
normal,125,36
thin,171,49
thin,181,60
thin,182,35
normal,191,78
thin,178,58
thin,184,55
thin,195,37
fat,132,78
thin,200,73
fat,121,51
normal,152,53
fat,135,57
fat,130,45
normal,196,72
thin,199,55
normal,144,51
normal,151,43
normal,157,60
fat,156,78
thin,185,50
thin,174,38
fat,140,67
normal,174,72
fat,146,77
fat,140,61
thin,189,58
normal,154,49
thin,172,37
thin,163,46
fat,151,64
fat,126,78
thin,171,45
fat,120,72
fat,148,78
normal,178,75
normal,137,37
fat,145,69
normal,168,70
normal,148,49
normal,130,41
thin,168,37
normal,188,70
thin,178,50
normal,151,44
fat,137,49
thin,178,42
thin,184,50
fat,131,64
normal,180,62
normal,194,73
thin,196,64
fat,146,80
fat,163,67
thin,177,54
normal,158,58
thin,190,51
normal,200,75
fat,124,78
normal,187,66
fat,133,49
fat,151,58
normal,196,72
fat,174,80
thin,198,41
fat,169,76
thin,155,36
normal,164,53
thin,171,35
thin,197,68
fat,144,69
normal,173,60
normal,180,62
thin,186,60
normal,173,56
fat,153,61
thin,183,59
fat,158,72
thin,168,42
normal,179,70
thin,188,60
fat,134,54
